Track Name,Artist Name(s),Album Name,Popularity,Energy,Tempo
Justified & Ancient - Stand by the Jams,The KLF,Songs Collection,0,0.872,111.458
I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,64,0.743,127.045
From the Bottom of My Broken Heart,Britney Spears,...Baby One More Time (Digital Deluxe Version),56,0.665,74.981
Apeman - 2014 Remastered Version,The Kinks,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",42,0.728,75.311
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,0,0.627,85.818
Don't Stop - 2004 Remaster,Fleetwood Mac,Rumours,79,0.71,118.745
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),78,0.68,89.391
Something About The Way You Look Tonight - Edit Version,Elton John,Candle In The Wind 1997 / Something About ...,61,0.628,143.412
Juke Box Hero,Foreigner,4 (Expanded),74,0.653,176.647
Mercy,Shawn Mendes,Illuminate (Deluxe),0,0.681,148.064
It's Like That,"Run–D.M.C., Jason Nevins",The Greatest Hits,68,0.874,129.029
Here Without You,3 Doors Down,Away From The Sun,80,0.533,143.994
Listen to the Band - Single Version,The Monkees,The Best of The Monkees,31,0.659,184.38
With A Little Luck - Remastered 1993,Wings,London Town,0,0.372,111.984
Sing,Ed Sheeran,x (Deluxe Edition),73,0.67,119.988
Mississippi,Pussycat,First Of All,58,0.731,123.332
Flava,Nathaniel,Yours,5,0.754,112.962
Baby Sittin' Boogie - Radio Version,Buzz Clifford,Rock & Roll 50s & 60s Mix,6,0.533,140.11
Dr. Love,Tina Charles,Dance Little Lady,15,0.563,102.021
Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"Glee Cast, Gwyneth Paltrow",Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),0,0.416,145.922
I'm Free,"The Soup Dragons, Junior Reid",20 Golden Greats,0,0.936,103.272
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,Writing's On The Wall,68,0.302,81.418
If You Can't Give Me Love - 2017 Remaster,Suzi Quatro,If You Knew Suzi… (2017 Remaster),0,0.66,133.867
Take Yourself Home,Troye Sivan,Take Yourself Home,0,0.606,99.73
Give It Up,KC & The Sunshine Band,All In a Night's Work (Expanded Version),73,0.624,124.896
Homecoming,Hey Monday,Hold On Tight,47,0.958,150.074
Funhouse - Main Version - Clean,P!nk,La Guestlist,24,0.84,103.957
Dangerous Woman,Ariana Grande,Dangerous Woman,0,0.604,134.052
Abergavenny,Marty Wilde,The Full Marty,33,0.895,123.102
That's All You Gotta Do,Brenda Lee,"Ultimate Collection, Vol. 1",9,0.65,98.137
Its Alright,Deni Hines,Delicious,44,0.88,103.395
Metal Guru,T. Rex,The Slider,50,0.95,127.895
Heaven Is A Place On Earth,Belinda Carlisle,Greatest Vol.1 - Belinda Carlisle,74,0.852,122.902
Paper In Fire,John Mellencamp,The Lonesome Jubilee (Remastered),0,0.905,141.985
Wrecking Ball,Miley Cyrus,Wrecking Ball,0,0.403,119.81
Deep End,Birdy,Beautiful Lies (Deluxe),35,0.296,171.744
Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams",Clarity (Deluxe),67,0.738,127.961
Californication,Red Hot Chili Peppers,Californication,63,0.767,96.483
We Will Rock You - Remastered 2011,Queen,News Of The World (2011 Remaster),82,0.497,81.308
My Island Home,Warumpi Band,Go Bush!,47,0.364,79.707
7 Days,Craig David,Born to Do It,74,0.812,83.014
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,Monte Video,Monte Video,28,0.695,181.337
Regardless,"Jarryd James, Julia Stone",Thirty One,30,0.393,130.086
Convoy,C.W. McCall,C.W. McCall's Greatest Hits,64,0.543,111.62
Pretty Flamingo,Manfred Mann,Pretty Flamingo,0,0.594,113.506
You Know I'm No Good,Amy Winehouse,Back To Black,0,0.806,103.383
Turn Around (feat. Ne-Yo),"Conor Maynard, Ne-Yo",Turn Around (feat. Ne-Yo),31,0.874,125.018
Morning After Dark (Featuring Nelly Furtado & SoShy),Timbaland,Shock Value II (International Deluxe version),0,0.927,118.039
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,67,0.515,129.048
Matthew & Son - Stereo Version,Yusuf / Cat Stevens,Matthew & Son,0,0.327,139.867
Heaven & Hell - US Single Version,The Easybeats,Friday On My Mind,11,0.676,116.418
You Are The Sunshine Of My Life,Stevie Wonder,Number 1's,0,0.574,131.892
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),87,0.372,91.873
You're the One,Petula Clark,The Classic Collection,22,0.721,136.892
We Made You,Eminem,Relapse: Refill,66,0.853,114.003
Round Round,Sugababes,Angels With Dirty Faces (International version),0,0.859,126.587
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",Juju on That Beat (TZ Anthem),61,0.887,160.517
Poker Face,Lady Gaga,The Fame,0,0.806,119.001
It Must Be Love,Madness,7,58,0.606,146.425
The Wild Colonial Boy,Dr. Hook,Timeless,19,0.312,158.27
You Talk Too Much,Joe Jones,You Talk Too Much - The Best Of,13,0.639,128.272
Can't Get Enough Of You Baby,Smash Mouth,All Star Smash Hits,0,0.891,123.728
One In A Million,"Jordie Ireland, Ava Hayz",One In A Million,27,0.551,104.175
Life Is A Highway,Tom Cochrane,Mad Mad World,65,0.751,103.036
IDGAF,Dua Lipa,Dua Lipa (Deluxe),83,0.544,97.028
As Long as You Love Me,Backstreet Boys,Backstreet's Back,0,0.801,98.12
Come & Get It,Selena Gomez,Stars Dance,0,0.795,148.985
Temperature,Sean Paul,The Trinity,84,0.6,125.04
Philadelphia Freedom,Elton John,Captain Fantastic (Deluxe Edition),0,0.626,125.199
Who Dat Girl (feat. Akon),"Flo Rida, Akon",Only One Flo (Part 1),60,0.616,124.963
True Colours,Kasey Chambers,Storybook,0,0.247,86.952
Set Adrift On Memory Bliss,P.M. Dawn,Let It Flow,52,0.784,99.773
Don't You Worry Child,"Swedish House Mafia, John Martin",Until Now,65,0.88,129.007
Colors Of The Wind - End Title,Vanessa Williams,Pocahontas Original Soundtrack (English Version),54,0.238,84.018
Beneath Your Beautiful (feat. Emeli Sandé),"Labrinth, Emeli Sandé",Electronic Earth (Expanded Edition),72,0.522,83.962
Wouldn't It Be Nice,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix),73,0.629,124.511
Together,Sia,Together,64,0.877,180.007
Sweat - Remix,"Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer",Sweat (Snoop Dogg Vs. David Guetta) [Remix],73,0.732,130.02
True - Single Edit,Spandau Ballet,True - The Digital E.P.,73,0.533,97.395
One,Ed Sheeran,x (Deluxe Edition),64,0.321,93.528
Stay,"Zedd, Alessia Cara",Stay,79,0.622,102.04
Oh My Goodness,Olly Murs,In Case You Didn't Know,43,0.803,128.035
Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat,63,0.788,126.06
Dream Girl,David Jones,David Jones,7,0.658,128.363
View From a Bridge,Kim Wilde,The Gold Collection,17,0.834,148.719
Wrapped Up (feat. Travie McCoy),"Olly Murs, Travie McCoy",Never Been Better (Deluxe),0,0.848,121.989
you broke me first,Tate McRae,you broke me first,85,0.373,124.148
Like It Like That,Guy Sebastian,Like It Like That,50,0.973,161.05
No Pressure,"Justin Bieber, Big Sean",Purpose (Deluxe),0,0.595,148.889
I Wanna Be With You,Mandy Moore,I Wanna Be With You,58,0.908,150.031
I'm In Control,"AlunaGeorge, Popcaan",I Remember,55,0.844,104.001
Can't Remember to Forget You,"Shakira, Rihanna",Shakira. (Deluxe Version),0,0.81,137.968
"It Ain't Me, Babe (with June Carter Cash)","Johnny Cash, June Carter Cash",The Essential Johnny Cash,51,0.587,105.642
Forever Young,Youth Group,Casino Twilight Dogs,54,0.664,115.272
It's Too Late,Carole King,Tapestry,72,0.442,208.282
Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",Billionaire (feat. Bruno Mars),76,0.673,86.776
Star Wars Theme/Cantina Band,Meco,Music Inspired By Star Wars And Other Galactic Funk,40,0.915,124.929
Jump In My Car,Ted Mulry Gang,Red Dog: True Blue (Original Motion Picture Soundtrack),49,0.721,123.057
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),0,0.822,117.949
Witchcraft,Pendulum,Immersion,64,0.969,174.038
'74-'75,The Connells,Ring,0,0.59,144.202
Two Princes,Spin Doctors,Pocket Full Of Kryptonite,74,0.912,103.731
Sorry,Toni Braxton,Sex & Cigarettes,37,0.68,94.979
I Begin to Wonder,Dannii Minogue,Neon Nights (Rhino Re-issue),0,0.741,125.06
iYiYi (feat. Flo Rida),"Cody Simpson, Flo Rida",4 U EP,43,0.721,159.951
This Is Tomorrow,Bryan Ferry,In Your Mind,37,0.66,119.46
Impossible,James Arthur,James Arthur (Deluxe),81,0.695,169.533
Hello - Edited Version,"Stafford Brothers, Lil Wayne, Christina Milian",Hello,20,0.845,123.086
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992","Mariah Carey, Trey Lorenz",Dinner with My Darling,11,0.544,75.017
working,"Tate McRae, Khalid",working,65,0.435,106.974
Love Me Like You,Little Mix,Love Me Like You,0,0.67,106.05
death bed (coffee for your head),"Powfu, beabadoobee",death bed (coffee for your head),84,0.431,144.026
Borrow My Heart,Taylor Henderson,Taylor Henderson,43,0.714,122.955
Always,Samantha Jade,Nine,30,0.72,108.012
Nasty Girl - Main,Nitty,Players Paradise,0,0.98,122.007
Always On Time,"Ja Rule, Ashanti",Pain Is Love,52,0.706,96.673
Cream - Without Rap Monologue,Prince,Diamonds and Pearls,57,0.591,115.592
Love Action (I Believe In Love),The Human League,Dare!,56,0.588,121.738
Never Gonna Fall in Love Again - Live,Mark Holden,Live At The George Ballroom,10,0.38,99.83
You Should Hear How She Talks About You,Melissa Manchester,Hey Ricky,45,0.834,131.909
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,0,0.363,131.224
I've Gotta Get A Message To You,Bee Gees,Idea (Deluxe Edition),59,0.596,83.414
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,Smile...It Confuses People,63,0.465,108.102
Heart of Gold - 2017 Remaster,Neil Young,Decade,0,0.444,171.719
Shake Ya Tailfeather - Radio,"Murphy Lee, Nelly, Diddy",Murphy's Law,0,0.733,87.665
Come Home with Me,Guy Sebastian,Madness,35,0.719,126.112
Drop the Boy,Bros,Push (Deluxe Edition),30,0.843,177.113
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",Nine Track Mind,62,0.481,80.025
Now That We Found Love,"Heavy D & The Boyz, Aaron Hall",Peaceful Journey,65,0.697,119.955
Call Out My Name,The Weeknd,"My Dear Melancholy,",0,0.599,134.144
Love Letters,Billy Thorpe & The Aztecs,It's All Happening - 23 Original Hits (1964-1975),12,0.494,142.342
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,80,0.558,114.95
"Doin' The Do - 7"" Radio Mix",Betty Boo,Boomania,37,0.961,120.378
Sweet Caroline,Neil Diamond,Sweet Caroline,0,0.127,63.05
Call Me,Blondie,Atomic/Atomix,77,0.825,142.669
Don't Take It Personal (Just One of Dem Days),Monica,Miss Thang,61,0.355,175.72
48 Crash,Suzi Quatro,The Very Best of Suzi Quatro,0,0.765,137.979
My Hero,Foo Fighters,The Colour And The Shape,79,0.927,77.106
50 Ways to Say Goodbye,Train,California 37,71,0.935,140.043
Counting Stars,OneRepublic,Native,15,0.71,121.979
House of the Rising Sun,Frijid Pink,On the Edge,33,0.761,118.752
Do It Again,The Chemical Brothers,We Are The Night,54,0.714,123.974
Together We Are Beautiful,Fern Kinney,Groove Me,42,0.484,110.45
Keep It Comin' Love,KC & The Sunshine Band,"KC & the Sunshine Band, Pt. 3... and More",54,0.721,110.383
Stay Awhile,The Bells,Stay Awhile,0,0.268,84.559
Me Myself & I,Scandal'us,Startin' Somethin',0,0.869,99.906
Be the One,Dua Lipa,Dua Lipa (Deluxe),69,0.651,87.46
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Don't You Worry Child,85,0.84,129.042
Private Idaho,The B-52's,Wild Planet,59,0.882,166.403
I Never Told You,Colbie Caillat,Breakthrough (Int'l Deluxe Version),55,0.634,144.104
Saving All My Love For You,Dami Im,Dami Im,36,0.557,197.622
BLOW (with Chris Stapleton & Bruno Mars),"Ed Sheeran, Chris Stapleton, Bruno Mars",BLOW (with Chris Stapleton & Bruno Mars),66,0.796,92.469
Wonderful,"Ja Rule, R. Kelly, Ashanti",R.U.L.E.,0,0.777,92.681
Up/Down,Jessica Mauboy,Been Waiting,24,0.883,123.123
More Than This,Roxy Music,Avalon,71,0.666,128.505
Every Time I Close My Eyes (with Kenny G),"Babyface, Kenny G",The Day,65,0.417,143.676
"Uptown Festival - 7"" Version",Shalamar,The Very Best Of,13,0.815,125.393
Free,Ultra Naté,Situation:Critical,62,0.905,125.002
Have You Ever Really Loved A Woman?,Bryan Adams,18 Til I Die,0,0.472,145.513
Problem,"Ariana Grande, Iggy Azalea",My Everything (Deluxe),79,0.805,103.008
No More Lonely Nights (Ballad),Paul McCartney,Give My Regards To Broad Street,0,0.426,175.895
Scars,Papa Roach,Getting Away With Murder,71,0.921,89.922
One Track Mind,Bobby Lewis,Collector's Gold Series,3,0.636,145.241
Cheap Wine - 2011 Remastered,Cold Chisel,East,60,0.889,123.661
I'm Every Woman,Whitney Houston,The Bodyguard - Original Soundtrack Album,65,0.847,119.555
"Because I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",Afroman,"No Seeds, No Stems, Just Hits",0,0.314,166.064
Love is a Beautiful Song,Dave Mills,Pop Goes the Saries,0,0.517,102.678
You Belong To Me - JX Mix,JX,You Belong To Me,25,0.804,141.86
Blister in the Sun - 2002 Remastered Version,Violent Femmes,Violent Femmes,0,0.261,97.042
The Reaper,"The Chainsmokers, Amy Shark",World War Joy,57,0.564,164.008
Follow The Sun,Evermore,Follow The Sun,0,0.833,95.978
Ain't No Love (Ain't No Use) [feat. Melanie Williams],"Sub Sub, Melanie Williams",Full Fathom Five,45,0.962,127.035
Runaway Train (2022 Remaster),Soul Asylum,Grave Dancers Union (2022 Remaster),74,0.72,117.341
All I Want,Sarah Blasko,As Day Follows Night,40,0.622,126.238
How Would You Feel (Paean),Ed Sheeran,÷ (Deluxe),67,0.439,139.979
Greatest Hits Megamix - Jewels & Stone Remix,"Five, Queen, Steve Mac, Stargate, Cutfather & Joe",Greatest Hits,42,0.883,101.994
This Is How We Do It,Montell Jordan,Best Of Montell Jordan,68,0.702,103.646
Mr. Bojangles - Remastered 2001,Nitty Gritty Dirt Band,Certified Hits (Remastered),57,0.757,154.26
San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,The Graduate - Music From The Broadway Comedy,55,0.428,113.168
I Forgot That You Existed,Taylor Swift,Lover,79,0.316,92.875
Versace on the Floor (Bruno Mars vs. David Guetta),"Bruno Mars, David Guetta",Versace On The Floor (Bruno Mars vs. David Guetta),64,0.701,100.012
Breakout,Swing Out Sister,It's Better To Travel,0,0.557,113.194
Firestone,"Kygo, Conrad Sewell",Cloud Nine,81,0.634,113.927
Til Death - Denzal Park Radio Edit,Wynter Gordon,With The Music I Die,30,0.699,127.988
The Time Warp,"Richard O'Brien, Patricia Quinn, Nell Campbell",Absolute Treasures: The Rocky Horror Picture Show - The Complete and Definitive Soundtrack (2015 40th Anniversary Re-Mastered Edition),45,0.858,175.7
Scream,"Michael Jackson, Janet Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I",62,0.942,106.525
AFTERGLOW,Taxiride,Garage Mahal,20,0.775,148.982
I Dig Rock and Roll Music - 2004 Remaster,"Peter\, Paul and Mary","The Very Best of Peter, Paul and Mary",31,0.413,121.77
Makes Me Wonder,Maroon 5,It Won't Be Soon Before Long (International Version),0,0.851,113.996
Thunder,Imagine Dragons,Evolve,0,0.813,167.997
Same Old Love,Selena Gomez,Revival (Deluxe),73,0.593,98.02
(You Drive Me) Crazy,Britney Spears,...Baby One More Time (Digital Deluxe Version),71,0.939,104.001
Free Loop,Daniel Powter,Daniel Powter,59,0.657,75.331
Two Strong Hearts,John Farnham,One Voice,18,0.78,109.856
Levels,Nick Jonas,Nick Jonas X2,0,0.671,198.709
When You Believe - from The Prince of Egypt,"Whitney Houston, Mariah Carey",The Ultimate Collection,31,0.428,125.218
Never Be The Same Again - Single Mix,"Melanie C, Lisa ""Left Eye"" Lopes",Northern Star,40,0.709,81.001
Stole,Kelly Rowland,Simply Deep,52,0.718,79.993
Before the Worst,The Script,The Script,35,0.928,115.006
"That Sunday, That Summer",Nat King Cole,Those Lazy Hazy Crazy Days Of Summer,33,0.46,82.495
Burn Your Name,Powderfinger,Golden Rule,53,0.92,126.51
Welcome To My World,Mýa,Welcome To My World,6,0.772,159.149
fOoL fOr YoU,ZAYN,Mind Of Mine (Deluxe Edition),71,0.513,77.903
Lady Godiva - Mono; 2003 Remaster,Peter And Gordon,Peter And Gordon (1966) Plus,7,0.488,124.601
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",Peace Is The Mission,0,0.809,98.007
You Found Me,The Fray,You Found Me,0,0.791,76.057
Higher Ground,Stevie Wonder,Innervisions,70,0.85,125.474
I Wanna Be the Only One (feat. Bebe Winans),"Eternal, Bebe Winans",Essential Eternal,44,0.768,100.071
Rev It Up,Jerry Harrison,Casual Gods,35,0.722,95.262
Doggin' Around,Jackie Wilson,Jackie Sings The Blues,28,0.367,94.096
New Rules,Dua Lipa,Dua Lipa (Deluxe),84,0.7,116.073
It's Now or Never,Elvis Presley,Elvis Forever: The Best of Elvis Presley,0,0.426,126.156
Boys & Girls,"Martin Solveig, Dragonette",Smash,12,0.625,131.005
Flowers,Miley Cyrus,Flowers,96,0.681,117.999
Take Me,RÜFÜS DU SOL,Atlas,26,0.78,124.04
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),82,0.622,80.003
THATS WHAT I WANT,Lil Nas X,MONTERO,85,0.846,87.981
Hurricane - Radio Edit,"Dzeko & Torres, Sarah McLeod","2013 EDM Lift Off!, Vol. 3",29,0.876,125.994
Midnight Memories,One Direction,Midnight Memories (Deluxe),71,0.868,156.128
Mama,B.J. Thomas,I'm So Lonesome I Could Cry,0,0.417,95.116
When Something Is Wrong With My Baby,Jimmy Barnes,Soul Deep,0,0.58,100.938
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,86,0.427,76.469
TiK ToK,Kesha,Animal,0,0.832,120.032
Some Type of Love,Charlie Puth,Some Type of Love,48,0.589,90.491
California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,83,0.608,112.367
Mona,Craig McLachlan;Check 1-2,Mona,31,0.816,102.981
Free Ride,The Edgar Winter Group,They Only Come Out At Night,64,0.686,124.204
Stay with Me,Jasmine Thompson,Take Cover,29,0.185,75.342
Already Gone,Powderfinger,Fingerprints & Footprints - The Ultimate Collection,21,0.356,161.436
Twist And Shout,"Chaka Demus & Pliers, Jack Radics, The Taxi Gang",Tease Me,0,0.82,128.954
Flashing Lights,Havana Brown,Flashing Lights,12,0.92,119.972
Caught in the Middle,A1,Make It Good,54,0.874,96.072
Folsom Prison Blues,Johnny Cash,The Essential Johnny Cash,44,0.676,110.71
Don't Go Breaking My Heart,"Elton John, Kiki Dee",Rock Of The Westies,83,0.844,131.459
Always on My Mind,Pet Shop Boys,Discography - Complete Singles Collection,74,0.783,124.874
Shake Your Bon-Bon,Ricky Martin,Ricky Martin,48,0.937,100.03
True Blue,John Williamson,Old Man Emu,51,0.269,108.886
Onionskin,Boom Crash Opera,These Here Are Crazy Times,45,0.922,99.086
Brand New Key,Melanie,Beautiful People: The Greatest Hits of Melanie,55,0.412,83.816
The Clapping Song,The Belle Stars,Belle-Issima! Sweet Memories…,34,0.762,88.972
Ready for the Weekend,Calvin Harris,Ready For The Weekend,54,0.713,137.969
Heal the World,Michael Jackson,Dangerous,71,0.485,80.948
How Do I Say Goodbye,Dean Lewis,How Do I Say Goodbye,81,0.641,81.552
Yeah!,"Usher, Lil Jon, Ludacris",Yeah!,0,0.795,105.004
Speed of Sound,Coldplay,X&Y,76,0.898,123.067
Welcome To New York,Taylor Swift,1989 (Deluxe),0,0.634,116.992
We Built This City,Starship,Knee Deep In The Hoopla,0,0.82,144.226
If You're Too Shy (Let Me Know) [Edit],The 1975,If You're Too Shy (Let Me Know) [Edit],0,0.806,125.641
Free Ride,The Edgar Winter Group,They Only Come Out At Night,64,0.686,124.204
2 Hearts,Kylie Minogue,X,30,0.621,111.996
My Eyes Adored You,Frankie Valli,The Very Best of Frankie Valli & The 4 Seasons,46,0.489,137.829
Child's Play,Sherbet,Anthology,0,0.751,124.028
In My Little Corner Of The World,Anita Bryant,The Very Best Of,3,0.321,107.728
"Up, Up and Away",The 5th Dimension,"Up, Up And Away",55,0.362,107.743
The Living Years,Mike + The Mechanics,Living Years,65,0.429,97.893
SOS,ABBA,Abba,72,0.713,125.056
Free Your Mind,En Vogue,Funky Divas,60,0.831,100.026
Talk Like That,The Presets,Apocalypso,0,0.941,135.017
I Won't Back Down,Tom Petty and the Heartbreakers,Anthology: Through The Years,0,0.756,113.906
Monsters (feat. Demi Lovato and blackbear),"All Time Low, Demi Lovato, blackbear",Monsters (feat. Demi Lovato and blackbear),45,0.765,162.097
1985,Bowling For Soup,A Hangover You Don't Deserve,57,0.878,119.955
#thatPOWER,"will.i.am, Justin Bieber",#willpower (Deluxe),69,0.608,127.999
Friday I'm In Love,The Cure,Greatest Hits,51,0.946,135.977
Everybody On The Floor (Pump It) - Radio Edit,Tokyo Ghetto Pussy,90's Eurodance - 20 Eurodance Essentials,0,0.72,144.982
The Old Lamplighter,The Browns,The Complete Pop & Country Hits,40,0.105,92.238
Back 2 Good,Matchbox Twenty,Yourself or Someone Like You,60,0.504,89.051
Black Box,Stan Walker,Introducing,45,0.811,123.008
I'm In You,Peter Frampton,I'm In You,52,0.494,98.478
Let Me Down Slowly,Alec Benjamin,Narrated For You,90,0.557,150.073
Someday (feat. Meghan Trainor),"Michael Bublé, Meghan Trainor",Nobody but Me (Deluxe),62,0.539,94.98
Send in the Clowns,Judy Collins,The Very Best Of Judy Collins,33,0.0497,86.659
In Love By Now,Jamie Foxx,In Love By Now,27,0.379,130.836
Incredible,Timomatic,Timomatic,30,0.919,115.051
Our Song - Luca Schreiner Remix,"Anne-Marie, Niall Horan, Luca Schreiner",Our Song (Luca Schreiner Remix),44,0.685,84.838
Geronimo,The Shadows,A's B's & EP's,6,0.593,138.245
Head over Feet - 2015 Remaster,Alanis Morissette,Jagged Little Pill (2015 Remaster),66,0.808,79.599
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,83,0.841,109.021
Feel So Close - Radio Edit,Calvin Harris,18 Months,85,0.924,127.937
It Ain't Necessarily So - 2015 Remaster,Normie Rowe & The Playboys,Frenzy! The 50th Anniversary Collection,8,0.448,113.472
It's Four in the Morning,Faron Young,All Time Greatest Hits,32,0.277,131.001
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),81,0.716,94.379
You're So Strong,Mental As Anything,Fundamental As Anything,30,0.748,142.575
I'll Be There For You,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package),0,0.793,72.985
Something's Got A Hold On Me,Jessica Mauboy,Something's Got A Hold On Me,22,0.878,127.945
Listen to Your Heart (feat. Edmée) - Furious F. Radio Edit,"DHT, Edmee, Furious F.",Listen to Your Heart (feat. Edmée) [Radio Edits],10,0.983,144.985
Man Overboard,Do Re Mi,Domestic Harmony,0,0.514,89.026
Caught In The Crowd,Kate Miller-Heidke,Curiouser,45,0.638,169.92
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,Secret Dreams And Forbidden Fire,0,0.675,150.058
Going Up The Country,Canned Heat,The Best Of Canned Heat,65,0.239,80.392
Girl On Fire (feat. Nicki Minaj) - Inferno Version,"Alicia Keys, Nicki Minaj",Girl On Fire,58,0.808,92.864
Always,Bon Jovi,Cross Road (Sound & Vision) [2CD/DVD Sound & Vision],60,0.658,143.713
Home,Phillip Phillips,The World From The Side Of The Moon (Deluxe),5,0.826,121.04
Unchained Melody,The Righteous Brothers,The Very Best Of The Righteous Brothers - Unchained Melody,0,0.199,98.97
Alive,Natalie Bassingthwaighte,1000 Stars,38,0.849,129.935
Tired of Toein' the Line,Rocky Burnette,Tired of Toein' the Line,0,0.694,121.975
When Tomorrow Comes - Remastered Version,"Eurythmics, Annie Lennox, Dave Stewart",Revenge,55,0.98,139.36
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair,0,0.811,112.053
I’ll Make Love To You,Boyz II Men,Twenty,0,0.621,140.647
Oh L'Amour - 2011 Remaster,Erasure,Wonderland (2011 Expanded Edition),62,0.82,122.43
Walk,Foo Fighters,Wasting Light,73,0.865,137.107
Dirty Talk,Wynter Gordon,With The Music I Die,26,0.808,130.018
Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",Nothing but the Beat (Ultimate Edition),69,0.793,127.96
Never Gonna Not Dance Again,P!nk,Never Gonna Not Dance Again,76,0.802,113.796
I Go To Rio,Peter Allen,Taught By Experts,44,0.765,121.844
Thunder,Imagine Dragons,Evolve,89,0.822,167.997
Complicated,Avril Lavigne,Let Go,83,0.776,77.987
Right Type of Mood,HERBIE,Fingers,42,0.932,150.02
Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),3,0.71,106.894
When We Were Kids,The Galvatrons,When We Were Kids,19,0.977,135.904
"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat","Baby, I'm Jealous (feat. Doja Cat)",64,0.867,98.05
Interstate Love Song,Stone Temple Pilots,Purple,0,0.947,170.616
We Belong,Sheppard,Watching The Sky,30,0.655,111.98
Believer,Imagine Dragons,Evolve,14,0.787,124.982
Walls,Flowers,White Heat: 30 Hits,0,0.631,79.021
Seventeen,Winger,Winger,63,0.676,95.98
Macarena - Bayside Boys Remix,Los Del Rio,Alegria Y Cosabuena,60,0.93,103.191
Jean,Oliver,Lost Hits Of The 60's (All Original Artists & Versions),26,0.127,92.637
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",Peace Is the Mission,64,0.809,98.007
Word Up!,Korn,Word Up! (The Remixes),71,0.94,116.045
Let Me Blow Ya Mind,"Eve, Gwen Stefani",Scorpion,78,0.557,90.032
Flaws,Bastille,All This Bad Blood,0,0.644,144.202
Ghost,Ella Henderson,Ghost,58,0.836,104.984
We'll Sing in the Sunshine,Gale Garnett,My Kind of Folk Songs,44,0.351,106.73
Sex & Candy,Marcy Playground,Marcy Playground,74,0.558,80.511
Perfect,Simple Plan,"No Pads, No Helmets...Just Balls",0,0.672,156.208
Two Tickets to Paradise (2022 Remaster),Eddie Money,Eddie Money (2022 Remaster),67,0.68,129.713
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,85,0.586,116.971
Cinnamon,Derek,19 Greatest Songs From The 60's,0,0.742,163.861
Tiny Dancer,Elton John,The Greatest Hits 1970-2002,0,0.464,144.954
Hello Friday (feat. Jason Derulo),"Flo Rida, Jason Derulo",Hello Friday (feat. Jason Derulo),49,0.881,99.98
Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),77,0.937,132.067
Higher (feat. iann dior),"Clean Bandit, iann dior",Higher (feat. iann dior),60,0.736,104.018
Dilemma,"Nelly, Kelly Rowland",Nellyville,81,0.552,168.189
City Low,Caramel Blue,Gold Bars & Cuban Cigars,3,0.428,97.949
